event_time,gen,vendor,role,device_name,syslog,card,unit_name,alarm_group,keyword,service_effect,after_action,action_result
2024-01-01 00:00:00,LTE,Huawei,IBC,Device-22,Device-22 10/1/8 CRC Error,일체형,LC,SW,Temperature alarm,Ring Open,"2024-01-01 01:00:00 - 조치: 인증 실패로 보안 설정 점검
2024-01-01 10:00:00 - 조치: 온도 경고로 팬 모듈 교체
2024-01-01 19:00:00 - 조치 완료",유니트교체복구
2024-01-01 13:07:48,5G,Huawei,IVC,Device-21,Device-21: Jan 01 13:07:48.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/7. Reason: EPC heartbeat failure,I/O,LC,SW,Link Down,있음,"2024-01-01 14:07:48 - 조치: Link down 발생, 교체 작업 수행
2024-01-02 01:07:48 - 조치: Link down 발생, 교체 작업 수행
2024-01-02 06:07:48 - 조치 완료",유니트교체복구
2024-01-02 02:15:37,LTE,Ciena,IBC,Device-24,Network element does not respond to SNMP requests,Power,IOM,HW,CRC,있음,"2024-01-02 10:15:37 - 조치: CRC 발생으로 모니터링 강화
2024-01-02 15:15:37 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-02 14:15:37 - 조치 완료",자동복구
2024-01-02 15:23:26,5G,Nokia,IVC,Device-24,Device-24: Jan 02 15:23:26.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 3/7. Reason: EOBC heartbeat failure,Power,CSM,SW,System reboot,있음,"2024-01-02 16:23:26 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-03 00:23:26 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-03 07:23:26 - 조치 완료",유니트교체복구
2024-01-03 04:31:15,5G,Cisco,IVC,Device-25,68.226.215.99 8054: LC/2/3/CPU1: Jan 03 04:31:15.000 shelf_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-4 :DECLARE :CPU0: Optics0/3/0,I/O,SC,SW,Heartbeat failure,Ring Open,"2024-01-03 08:31:15 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-03 09:31:15 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-03 21:31:15 - 조치 완료",자동복구
2024-01-03 17:39:04,5G,Ciena,IVR,Device-15,"Device-15: Jan 03 17:39:04.000 card_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 2/5",광모듈,SFP,SW,Network congestion,없음,"2024-01-03 22:39:04 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-04 09:39:04 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-04 15:39:04 - 조치: CRC 발생으로 모니터링 강화
2024-01-04 06:39:04 - 조치 완료",유니트교체복구
2024-01-04 06:46:53,LTE,Nokia,IVRR,Device-09,Device-09 %%57152 Jan 04 06:46:53.000 KST MINOR: PORT #8958 Base Port 5/8 SFF DDM (txOutputPower-low-warning) raised,Power,LC,SW,Packet loss,없음,"2024-01-04 08:46:53 - 조치: 온도 경고로 팬 모듈 교체
2024-01-04 15:46:53 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-04 19:46:53 - 조치 완료",원격조치복구
2024-01-04 19:54:42,5G,Nokia,L3SW,Device-16,Device-16 %%52014 Jan 04 19:54:42.000 KST MINOR: PORT #7493 Base Port 1/9 SFF DDM (txOutputPower-low-warning) raised,스위칭부,SC,HW,Heartbeat failure,Ring Open,"2024-01-05 05:54:42 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-05 14:54:42 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-05 01:54:42 - 조치 완료",양호
2024-01-05 09:02:31,LTE,Nokia,ROTN,Device-11,Device-11: Jan 05 09:02:31.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 7/1. Reason: EOBC heartbeat failure,I/O,IOM,HW,Heartbeat failure,Ring Open,"2024-01-05 20:02:31 - 조치: 온도 경고로 팬 모듈 교체
2024-01-06 07:02:31 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-05 19:02:31 - 조치 완료",양호
2024-01-05 22:10:20,LTE,Ciena,L3SW,Device-17,Device-17 %%36686 Jan 05 22:10:20.000 KST MINOR: PORT #8299 Base Port 9/5 SFF DDM (txOutputPower-low-warning) raised,일체형,Power,HW,Power supply fault,있음,"2024-01-06 00:10:20 - 조치: CRC 발생으로 모니터링 강화
2024-01-06 03:10:20 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-06 12:10:20 - 조치: Link down 발생, 교체 작업 수행
2024-01-06 18:10:20 - 조치 완료",유니트교체복구
2024-01-06 11:18:09,LTE,Ciena,IVR,Device-04,"Device-04: Jan 06 11:18:09.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Power up after unexpected card reset' for card 5/7",스위칭부,IOM,SW,Link Down,없음,"2024-01-06 15:18:09 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-06 16:18:09 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-06 17:18:09 - 조치: 인증 실패로 보안 설정 점검
2024-01-07 04:18:09 - 조치 완료",원격조치복구
2024-01-07 00:25:58,LTE,Huawei,IVR,Device-28,NodeDown,광모듈,CSM,SW,CRC,없음,"2024-01-07 07:25:58 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-07 13:25:58 - 조치: CRC 발생으로 모니터링 강화
2024-01-07 17:25:58 - 조치 완료",양호
2024-01-07 13:33:47,5G,Cisco,IBC,Device-12,Device-12: Jan 07 13:33:47.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/5. Reason: EPC heartbeat failure,일체형,IOM,HW,Authentication failure,Ring Open,"2024-01-07 17:33:47 - 조치: Link down 발생, 교체 작업 수행
2024-01-07 18:33:47 - 조치: 인증 실패로 보안 설정 점검
2024-01-07 20:33:47 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-08 04:33:47 - 조치 완료",유니트교체복구
2024-01-08 02:41:36,LTE,Cisco,IVC,Device-23,"Device-23: Jan 08 02:41:36.000 shelf_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 4/0",일체형,CSM,HW,Power supply fault,Ring Open,"2024-01-08 10:41:36 - 조치: 온도 경고로 팬 모듈 교체
2024-01-08 14:41:36 - 조치: 온도 경고로 팬 모듈 교체
2024-01-08 14:41:36 - 조치 완료",유니트교체복구
2024-01-08 15:49:25,LTE,Ciena,IVRR,Device-17,Device-17: Jan 08 15:49:25.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 7/4 reporting a machine check error condition. Card will be auto reset to recover from this failure.,스위칭부,FAN,SW,Packet loss,있음,"2024-01-09 00:49:25 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-09 11:49:25 - 조치: CRC 발생으로 모니터링 강화
2024-01-09 05:49:25 - 조치 완료",양호
2024-01-09 04:57:14,5G,Ciena,Clock,Device-03,Device-03: Jan 09 04:57:14.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 1/5 reporting a machine check error condition. Card will be auto reset to recover from this failure.,스위칭부,CSM,SW,Module failure,있음,"2024-01-09 08:57:14 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-09 12:57:14 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-09 10:57:14 - 조치 완료",자동복구
2024-01-09 18:05:03,5G,Huawei,IVC,Device-23,Device-23: Jan 09 18:05:03.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 4/6 reporting a machine check error condition. Card will be auto reset to recover from this failure.,광모듈,FAN,HW,Power supply fault,Ring Open,"2024-01-10 03:05:03 - 조치: CRC 발생으로 모니터링 강화
2024-01-10 06:05:03 - 조치: 온도 경고로 팬 모듈 교체
2024-01-10 16:05:03 - 조치: Link down 발생, 교체 작업 수행
2024-01-10 03:05:03 - 조치 완료",원격조치복구
2024-01-10 07:12:51,LTE,Ciena,IBRR,Device-17,Device-17 10/7/4 CRC Error,제어부,LC,SW,Module failure,있음,"2024-01-10 14:12:51 - 조치: 인증 실패로 보안 설정 점검
2024-01-10 15:12:51 - 조치: Link down 발생, 교체 작업 수행
2024-01-10 11:12:51 - 조치 완료",원격조치복구
2024-01-10 20:20:40,LTE,Nokia,IBRR,Device-26,"Device-26: Jan 10 20:20:40.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Power up after unexpected card reset' for card 5/3",제어부,LC,HW,Power supply fault,없음,"2024-01-10 22:20:40 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-11 07:20:40 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-11 22:20:40 - 조치 완료",자동복구
